                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2024,                 1.5976,                 1.3281,                 0.0329,                0.60833,                0.02977,                0.01504,                 1.5073,                 138.15,                 2.5476,               0.070254,              0.0033051,              0.0033051
                      2,                 1.3443,                 1.2835,                 1.4274,                0.08636,                0.15833,                0.04227,                0.02006,                  1.459,                 73.969,                 1.9284,               0.040228,              0.0066125,              0.0066125
                      3,                 1.2885,                 1.2254,                  1.407,                0.17394,                    0.4,                0.16808,                0.09212,                  1.553,                  15.82,                 1.9254,               0.010099,              0.0098167,              0.0098167
                      4,                 1.2349,                 1.1399,                 1.3484,                0.81132,                0.75252,                0.82358,                0.53227,                 1.1523,                 2.5536,                 1.3964,              0.0096524,              0.0096524,              0.0096524
                      5,                 1.1846,                 1.0167,                 1.3244,                0.74356,                  0.725,                0.79999,                0.50446,                 1.1327,                 2.3559,                 1.3995,              0.0096524,              0.0096524,              0.0096524
                      6,                 1.1365,                0.97895,                 1.3022,                0.90306,                0.77635,                0.87716,                0.58114,                 1.1993,                 1.1442,                 1.4105,              0.0093877,              0.0093877,              0.0093877
                      7,                 1.0861,                0.90499,                 1.2585,                0.83631,                    0.8,                0.90997,                0.64548,                 1.0521,                 1.1654,                 1.3087,              0.0090546,              0.0090546,              0.0090546
                      8,                 1.0744,                0.85986,                  1.245,                0.94853,                0.92149,                0.95745,                0.67344,                0.94353,                 1.0612,                 1.2305,              0.0086584,              0.0086584,              0.0086584
                      9,                0.99755,                0.83646,                 1.2035,                0.93747,                0.87451,                0.95928,                0.70701,                0.97593,                0.80913,                 1.2662,              0.0082052,              0.0082052,              0.0082052
                     10,                0.97208,                0.80657,                 1.1964,                0.88952,                  0.925,                0.96112,                0.70763,                0.88792,                0.76581,                 1.2055,              0.0077023,              0.0077023,              0.0077023
                     11,                 1.0088,                0.83463,                 1.2067,                0.88751,                0.92052,                0.95493,                0.70811,                0.89028,                0.74582,                 1.2012,              0.0071576,              0.0071576,              0.0071576
                     12,                 0.9507,                0.76948,                 1.1703,                0.94955,                0.94113,                0.97387,                0.73737,                 0.8798,                0.68702,                 1.1653,              0.0065796,              0.0065796,              0.0065796
                     13,                0.90309,                0.72657,                 1.1378,                0.95144,                  0.925,                0.98048,                0.75947,                0.81812,                0.68077,                 1.1446,              0.0059775,              0.0059775,              0.0059775
                     14,                0.88507,                0.69576,                  1.118,                0.94905,                0.93142,                0.98463,                0.75294,                0.89721,                0.62551,                 1.1635,              0.0053608,              0.0053608,              0.0053608
                     15,                0.86317,                0.67128,                  1.115,                0.92053,                 0.9653,                0.98611,                0.76727,                0.79243,                 0.6465,                 1.1148,              0.0047392,              0.0047392,              0.0047392
